00:07:13.933, Connected as slave
01:16:28.575, -9 dBm, 27
01:16:28.691, -9 dBm, 27
01:16:28.694, -9 dBm, 27
01:16:28.821, -9 dBm, 27
01:16:28.825, -9 dBm, 27
01:16:28.828, -9 dBm, 27
01:16:28.833, -9 dBm, 27
01:16:28.947, -9 dBm, 27
01:16:28.950, -9 dBm, 27
01:16:29.077, -9 dBm, 27
01:16:29.085, -9 dBm, 27
01:16:29.092, -9 dBm, 27
01:16:29.097, -9 dBm, 27
01:16:29.204, -9 dBm, 27
01:16:29.208, -9 dBm, 27
01:16:29.334, -9 dBm, 27
01:16:29.337, -9 dBm, 27
01:16:29.340, -9 dBm, 27
01:16:29.344, -9 dBm, 27
01:16:29.461, -9 dBm, 27
01:16:29.465, 01:26:34.688, error
01:26:34.695, error
01:26:34.796, error
01:26:34.801, -11 dBm, 29
01:26:34.806, -11 dBm, 29
01:26:34.811, -11 dBm, 29
01:26:34.938, -11 dBm, 29
01:26:34.943, -11 dBm, 29
01:26:35.056, -11 dBm, 29
01:26:35.062, -11 dBm, 30
01:26:35.067, -11 dBm, 30
01:26:35.074, -11 dBm, 30
01:26:35.184, -11 dBm, 30
01:26:35.188, -11 dBm, 30
01:26:35.314, -11 dBm, 30
01:26:35.321, -11 dBm, 26
01:26:35.326, -11 dBm, 26
01:26:35.336, -11 dBm, 26
01:26:35.441, -11 dBm, 26
01:26:35.444, -11 dBm, 26
01:26:35.572, -11 dBm, 26
01:26:35.578, -11 dBm, 27
01:26:35.589, -11 dBm, 27
01:26:35.593, -11 dBm, 27
01:26:35.698, -11 dBm, 27
01:26:35.703, -11 dBm, 27
01:26:35.829, -11 dBm, 27
01:26:35.835, -11 dBm, 28
01:26:35.839, -11 dBm, 28
01:26:35.845, -11 dBm, 28
01:26:35.956, -11 dBm, 28
01:26:35.961, -11 dBm, 28
01:26:36.086, -11 dBm, 28
01:26:36.091, -10 dBm, 25
01:26:36.096, -10 dBm, 25
01:26:36.102, -10 dBm, 25
01:26:36.214, -10 dBm, 25
01:26:36.219, -10 dBm, 25
01:26:36.349, -10 dBm, 25
01:26:36.356, -11 dBm, 25
01:26:36.360, -11 dBm, 25
01:26:36.364, -11 dBm, 25
01:26:36.472, -11 dBm, 25
01:26:36.476, -11 dBm, 25
01:26:36.601, -11 dBm, 25
01:26:36.610, -10 dBm, 29
01:26:36.627, -10 dBm, 29
01:26:36.634, -10 dBm, 29
01:26:36.729, -10 dBm, 29
01:26:36.734, -10 dBm, 29
01:26:36.858, -10 dBm, 29
01:26:36.864, -11 dBm, 26
01:26:36.870, -11 dBm, 26
01:26:36.874, -11 dBm, 26
01:26:36.985, -11 dBm, 26
01:26:36.990, -11 dBm, 26
01:26:37.115, -11 dBm, 26
01:26:37.121, -11 dBm, 30
01:26:37.126, -11 dBm, 30
01:26:37.131, -11 dBm, 30
01:26:37.246, -11 dBm, 30
01:26:37.259, -11 dBm, 30
01:26:37.373, -11 dBm, 30
01:26:37.378, -10 dBm, 22
01:26:37.383, -10 dBm, 22
01:26:37.387, -10 dBm, 22
01:26:37.500, -10 dBm, 22
