13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:53:07.238, Beacon 1-15, 24,
13:53:09.674, Beacon 1-5, 26,
13:53:14.544, Beacon 1-5, 26,
13:53:16.980, Beacon 1-5, 26,
13:53:19.415, Beacon 1-15, 26,
13:53:21.852, Beacon 1-15, 26,
13:53:24.286, Beacon 1-5, 25,
13:53:26.722, Beacon 1-15, 26,
13:53:29.156, Beacon 1-5, 26,
13:53:31.592, Beacon 1-5, 25,
13:53:34.027, Beacon 1-5, 24,
13:53:36.462, Beacon 1-5, 25,
13:53:38.897, Beacon 1-15, 25,
13:53:41.334, Beacon 1-15, 24,
13:53:43.768, Beacon 1-15, 24,
13:53:46.204, Beacon 1-15, 25,
13:53:48.639, Beacon 1-5, 24,
13:53:51.074, Beacon 1-5, 25,
13:53:53.509, Beacon 1-15, 26,
13:53:55.945, Beacon 1-5, 26,
13:53:58.379, Beacon 1-3, 26,
13:54:00.814, Beacon 1-5, 25,
13:54:05.684, Beacon 1-5, 26,
13:54:08.117, Beacon 1-5, 25,
13:54:10.552, Beacon 1-5, 25,
13:54:15.422, Beacon 1-15, 26,
13:54:17.857, Beacon 1-16, 26,
13:54:20.293, Beacon 1-5, 27,
13:54:22.728, Beacon 1-15, 27,
13:54:25.163, Beacon 1-5, 26,
13:54:27.597, Beacon 1-15, 26,
13:54:30.033, Beacon 1-5, 26,
13:54:32.466, Beacon 1-5, 26,
13:54:34.902, Beacon 1-5, 24,
13:54:37.336, Beacon 1-5, 26,
13:54:39.771, Beacon 1-15, 24,
13:54:42.207, Beacon 1-15, 25,
13:54:44.641, Beacon 1-5, 26,
13:54:47.077, Beacon 1-15, 26,
13:54:49.512, Beacon 1-15, 26,
13:54:51.948, Beacon 1-5, 26,
13:54:54.403, Beacon 1-15, 26,
13:54:56.818, Beacon 1-5, 25,
13:54:59.252, Beacon 1-5, 27,
13:55:01.687, Beacon 1-16, 25,
13:55:06.558, Beacon 1-5, 26,
13:55:08.992, Beacon 1-5, 25,
13:55:11.427, Beacon 1-5, 26,
13:55:16.297, Beacon 1-5, 24,
13:55:18.730, Beacon 1-5, 27,
13:55:21.165, Beacon 1-15, 25,
13:55:23.600, Beacon 1-5, 26,
13:55:26.035, Beacon 1-15, 27,
13:55:28.470, Beacon 1-5, 27,
13:55:30.905, Beacon 1-5, 26,
13:55:33.340, Beacon 1-15, 26,
13:55:35.776, Beacon 1-3, 25,
13:55:38.209, Beacon 1-5, 26,
13:55:40.644, Beacon 1-5, 25,
13:55:43.078, Beacon 1-5, 26,
13:55:45.513, Beacon 1-15, 27,
13:55:47.948, Beacon 1-5, 24,
13:55:50.383, Beacon 1-5, 26,
13:55:52.818, Beacon 1-15, 25,
13:55:55.253, Beacon 1-5, 27,
13:55:57.688, Beacon 1-5, 26,
13:56:00.122, Beacon 1-5, 27,
13:56:02.557, Beacon 1-15, 25,
13:56:07.428, Beacon 1-5, 25,
13:56:09.862, Beacon 1-5, 26,
13:56:12.297, Beacon 1-15, 25,
13:56:14.732, Beacon 1-5, 24,
13:56:17.167, Beacon 1-5, 26,
13:56:19.601, Beacon 1-15, 26,
13:56:22.037, Beacon 1-15, 26,
13:56:24.472, Beacon 1-5, 25,
13:56:26.907, Beacon 1-5, 25,
13:56:29.342, Beacon 1-16, 25,
13:56:31.777, Beacon 1-5, 27,
13:56:34.211, Beacon 1-5, 24,
13:56:36.647, Beacon 1-15, 25,
13:56:39.081, Beacon 1-5, 26,
13:56:41.516, Beacon 1-15, 25,
13:56:43.952, Beacon 1-5, 24,
13:56:46.386, Beacon 1-3, 24,
13:56:48.820, Beacon 1-5, 26,
13:56:51.255, Beacon 1-15, 24,
13:56:53.691, Beacon 1-5, 25,
13:56:56.125, Beacon 1-15, 26,
13:56:58.561, Beacon 1-5, 28,
13:57:00.995, Beacon 1-5, 25,
13:57:03.430, Beacon 1-5, 25,
13:57:08.300, Beacon 1-15, 24,
13:57:10.735, Beacon 1-5, 27,
13:57:13.170, Beacon 1-15, 28,
13:57:15.606, Beacon 1-5, 25,
13:57:18.040, Beacon 1-15, 24,
13:57:20.475, Beacon 1-15, 25,
13:57:22.911, Beacon 1-5, 27,
13:57:25.345, Beacon 1-15, 25,
13:57:27.782, Beacon 1-5, 24,
13:57:30.215, Beacon 1-5, 27,
13:57:32.650, Beacon 1-5, 24,
13:57:35.085, Beacon 1-15, 26,
13:57:37.521, Beacon 1-5, 25,
13:57:39.955, Beacon 1-15, 25,
13:57:42.390, Beacon 1-5, 26,
13:57:44.824, Beacon 1-5, 27,
13:57:47.259, Beacon 1-15, 26,
13:57:49.694, Beacon 1-5, 25,
13:57:52.129, Beacon 1-5, 25,
13:57:54.564, Beacon 1-15, 27,
13:57:56.999, Beacon 1-5, 26,
13:57:59.433, Beacon 1-5, 26,
13:58:01.868, Beacon 1-15, 26,
13:58:04.304, Beacon 1-5, 26,
13:58:09.174, Beacon 1-15, 27,
13:58:11.609, Beacon 1-15, 25,
13:58:14.045, Beacon 1-5, 25,
13:58:16.479, Beacon 1-3, 27,
