21:11:25.325, error
21:14:54.954, -11, 28
21:14:55.211, -11, 30
21:14:55.468, -11, 29
21:14:55.725, -11, 28
21:14:55.984, -12, 29
21:14:56.238, -12, 29
21:14:56.496, -11, 29
21:14:56.752, -11, 28
21:14:57.011, -11, 28
21:14:57.268, -12, 28
21:14:57.524, -12, 29
21:14:57.782, -12, 28
21:14:58.041, -12, 30
21:14:58.297, -11, 29
21:14:58.552, -11, 30
21:14:58.809, -11, 30
21:14:59.066, -11, 29
21:14:59.324, -11, 29
21:14:59.581, -12, 28
21:14:59.838, -11, 28
21:15:00.098, -12, 29
21:15:00.352, -12, 28
21:15:00.609, -11, 28
21:15:00.867, -11, 29
21:15:01.124, -11, 29
21:15:01.383, -11, 28
21:15:01.638, -12, 27
21:15:01.897, -12, 28
21:15:02.154, -12, 26
21:15:02.411, -11, 28
21:15:02.669, -12, 30
21:15:02.925, -11, 27
21:15:03.181, -11, 27
21:15:03.440, -11, 29
21:15:03.697, -11, 28
21:15:03.953, -12, 30
21:15:04.210, -11, 28
21:15:04.472, -11, 27
21:15:04.724, -11, 28
21:15:04.982, -12, 26
21:15:05.239, -11, 26
21:15:05.495, -11, 27
21:15:05.753, -11, 30
21:15:06.008, -11, 28
21:15:06.265, -11, 28
21:15:06.522, -11, 27
21:15:06.780, -11, 28
21:15:07.044, -11, 29
21:15:07.294, -11, 28
21:15:07.554, -11, 27
21:15:07.822, -12, 27
21:15:08.066, -11, 28
21:15:08.323, -11, 28
21:15:08.579, -12, 29
21:15:08.839, -12, 31
21:15:09.092, -11, 28
21:15:09.349, -12, 29
21:15:09.607, -11, 30
21:15:09.873, -11, 29
21:15:10.120, -11, 30
21:15:10.378, -11, 29
21:15:10.633, -11, 29
21:15:10.890, -11, 28
21:15:11.147, -11, 27
21:15:11.403, -11, 30
21:15:11.681, -11, 29
21:15:11.918, -11, 30
21:15:12.175, -11, 30
21:15:12.432, -11, 27
21:15:12.689, -11, 28
21:15:12.947, -11, 30
21:15:13.196, -11, 30
21:15:13.454, -11, 30
21:15:13.712, -11, 28
21:15:13.970, -11, 28
21:15:14.230, -11, 30
21:15:14.482, -11, 29
21:15:14.739, -11, 29
21:15:14.996, -11, 30
21:15:15.253, -11, 28
21:15:15.512, -11, 30
21:15:15.767, -11, 29
21:15:16.025, -11, 29
21:15:16.281, -11, 27
21:15:16.538, -11, 28
21:15:16.795, -11, 30
21:15:17.056, -11, 30
21:15:17.309, -11, 28
21:15:17.566, -11, 28
21:15:17.823, -11, 30
21:15:18.079, -11, 27
21:15:18.337, -11, 28
21:15:18.594, -11, 29
21:15:18.850, -11, 30
21:15:19.107, -11, 31
21:15:19.364, -11, 29
21:15:19.620, -11, 28
21:15:19.877, -11, 27
21:15:20.134, -11, 28
21:15:20.391, -11, 29
21:15:20.648, -11, 29
21:15:20.905, -11, 30
21:15:21.164, -11, 27
21:15:21.418, -11, 29
21:15:21.675, -11, 28
21:15:21.933, -11, 27
21:15:22.189, -11, 27
21:15:22.446, -11, 29
21:15:22.703, -11, 30
21:15:22.959, -11, 30
21:15:23.220, -11, 29
21:15:23.474, -11, 29
21:15:23.731, -11, 28
21:15:23.988, -11, 30
21:15:24.244, -11, 28
21:15:24.502, -11, 29
21:15:24.758, -11, 28
21:15:25.020, -11, 29
21:15:25.273, -11, 30
21:15:25.529, -11, 29
21:15:25.785, -11, 29
